Time,Height
3,1.624
3.010416667,1.619
3.020833333,1.616
3.03125,1.611
3.041666667,1.609
3.052083333,1.605
3.0625,1.602
3.072916667,1.599
3.083333333,1.597
3.09375,1.594
3.104166667,1.592
3.114583333,1.588
3.125,1.585
3.135416667,1.584
3.145833333,1.582
3.15625,1.58
3.166666667,1.577
3.177083333,1.575
3.1875,1.574
3.197916667,1.572
3.208333333,1.571
3.21875,1.568
3.229166667,1.567
3.239583333,1.567
3.25,1.564
3.260416667,1.562
3.270833333,1.559
3.28125,1.56
3.291666667,1.559
3.302083333,1.558
3.3125,1.557
3.322916667,1.553
3.333333333,1.552
3.34375,1.551
3.354166667,1.551
3.364583333,1.55
3.375,1.554
3.385416667,1.549
3.395833333,1.548
3.40625,1.549
3.416666667,1.546
3.427083333,1.545
3.4375,1.546
3.447916667,1.544
3.458333333,1.544
3.46875,1.543
3.479166667,1.542
3.489583333,1.541
3.5,1.541
3.510416667,1.541
3.520833333,1.542
3.53125,1.544
3.541666667,1.547
3.552083333,1.556
3.5625,1.557
3.572916667,1.555
3.583333333,1.56
3.59375,1.565
3.604166667,1.576
3.614583333,1.588
3.625,1.602
3.635416667,1.626
3.645833333,1.666
3.65625,1.716
3.666666667,1.768
3.677083333,1.814
3.6875,1.857
3.697916667,1.89
3.708333333,1.926
3.71875,1.952
3.729166667,1.984
3.739583333,2.001
3.75,2.023
3.760416667,2.052
3.770833333,2.077
3.78125,2.084
3.791666667,2.093
3.802083333,2.115
3.8125,2.129
3.822916667,2.131
3.833333333,2.127
3.84375,2.129
3.854166667,2.13
3.864583333,2.136
3.875,2.134
3.885416667,2.138
3.895833333,2.139
3.90625,2.156
3.916666667,2.152
3.927083333,2.149
3.9375,2.149
3.947916667,2.138
3.958333333,2.132
3.96875,2.117
3.979166667,2.105
3.989583333,2.091
4,2.07
4.010416667,2.053
4.020833333,2.03
4.03125,2.008
4.041666667,1.988
4.052083333,1.969
4.0625,1.953
4.072916667,1.933
4.083333333,1.92
4.09375,1.903
4.104166667,1.884
4.114583333,1.868
4.125,1.859
4.135416667,1.848
4.145833333,1.831
4.15625,1.821
4.166666667,1.81
4.177083333,1.798
4.1875,1.79
4.197916667,1.78
4.208333333,1.776
4.21875,1.763
4.229166667,1.757
4.239583333,1.75
4.25,1.744
4.260416667,1.735
4.270833333,1.725
4.28125,1.725
4.291666667,1.714
4.302083333,1.709
4.3125,1.706
4.322916667,1.7
4.333333333,1.696
4.34375,1.69
4.354166667,1.687
4.364583333,1.684
4.375,1.679
4.385416667,1.672
4.395833333,1.673
4.40625,1.671
4.416666667,1.662
4.427083333,1.66
4.4375,1.657
4.447916667,1.655
4.458333333,1.653
4.46875,1.648
4.479166667,1.641
4.489583333,1.64
4.5,1.638
4.510416667,1.639
4.520833333,1.635
4.53125,1.633
4.541666667,1.631
4.552083333,1.626
4.5625,1.626
4.572916667,1.621
4.583333333,1.614
4.59375,1.619
4.604166667,1.614
4.614583333,1.612
4.625,1.611
4.635416667,1.609
4.645833333,1.607
4.65625,1.606
4.666666667,1.602
4.677083333,1.605
4.6875,1.598
4.697916667,1.589
4.708333333,1.597
4.71875,1.592
4.729166667,1.6
4.739583333,1.591
4.75,1.589
4.760416667,1.586
4.770833333,1.587
4.78125,1.583
4.791666667,1.583
4.802083333,1.582
4.8125,1.575
4.822916667,1.578
4.833333333,1.58
4.84375,1.579
4.854166667,1.571
4.864583333,1.571
4.875,1.576
4.885416667,1.579
4.895833333,1.581
4.90625,1.585
4.916666667,1.582
4.927083333,1.578
4.9375,1.586
4.947916667,1.599
4.958333333,1.605
4.96875,1.641
4.979166667,1.66
4.989583333,1.714
5,1.781
5.010416667,1.863
5.020833333,1.934
5.03125,2.003
5.041666667,2.055
5.052083333,2.105
5.0625,2.144
5.072916667,2.179
5.083333333,2.219
5.09375,2.245
5.104166667,2.289
5.114583333,2.312
5.125,2.333
5.135416667,2.353
5.145833333,2.391
5.15625,2.415
5.166666667,2.485
5.177083333,2.511
5.1875,2.528
5.197916667,2.559
5.208333333,2.559
5.21875,2.568
5.229166667,2.609
5.239583333,2.615
5.25,2.641
5.260416667,2.66
5.270833333,2.662
5.28125,2.681
5.291666667,2.682
5.302083333,2.719
5.3125,2.734
5.322916667,2.74
5.333333333,2.733
5.34375,2.791
5.354166667,2.801
5.364583333,2.833
5.375,2.849
5.385416667,2.883
5.395833333,2.888
5.40625,2.93
5.416666667,2.948
5.427083333,3.001
5.4375,3.004
5.447916667,3.039
5.458333333,3.077
5.46875,3.119
5.479166667,3.128
5.489583333,3.184
5.5,3.22
5.510416667,3.221
5.520833333,3.251
5.53125,3.249
5.541666667,3.279
5.552083333,3.302
5.5625,3.301
5.572916667,3.308
5.583333333,3.331
5.59375,3.344
5.604166667,3.359
5.614583333,3.39
5.625,3.401
5.635416667,3.421
5.645833333,3.428
5.65625,3.469
5.666666667,3.478
5.677083333,3.507
5.6875,3.548
5.697916667,3.596
5.708333333,3.597
5.71875,3.643
5.729166667,3.67
5.739583333,3.7
5.75,3.734
5.760416667,3.753
5.770833333,3.78
5.78125,3.786
5.791666667,3.831
5.802083333,3.86
5.8125,3.884
5.822916667,3.846
5.833333333,3.861
5.84375,3.871
5.854166667,3.866
5.864583333,3.871
5.875,3.866
5.885416667,3.846
5.895833333,3.844
5.90625,3.851
5.916666667,3.803
5.927083333,3.811
5.9375,3.796
5.947916667,3.766
5.958333333,3.764
5.96875,3.694
5.979166667,3.665
5.989583333,3.642
6,3.643
6.010416667,3.634
6.020833333,3.616
6.03125,3.596
6.041666667,3.59
6.052083333,3.559
6.0625,3.569
6.072916667,3.551
6.083333333,3.494
6.09375,3.483
6.104166667,3.455
6.114583333,3.417
6.125,3.396
6.135416667,3.357
6.145833333,3.328
6.15625,3.273
6.166666667,3.228
6.177083333,3.187
6.1875,3.115
6.197916667,3.098
6.208333333,3.066
6.21875,3.023
6.229166667,2.985
6.239583333,2.968
6.25,2.918
6.260416667,2.919
6.270833333,2.883
6.28125,2.862
6.291666667,2.838
6.302083333,2.821
6.3125,2.8
6.322916667,2.783
6.333333333,2.797
6.34375,2.761
6.354166667,2.74
6.364583333,2.71
6.375,2.675
6.385416667,2.681
6.395833333,2.64
6.40625,2.606
6.416666667,2.587
6.427083333,2.566
6.4375,2.519
6.447916667,2.496
6.458333333,2.468
6.46875,2.448
6.479166667,2.406
6.489583333,2.374
6.5,2.35
6.510416667,2.327
6.520833333,2.292
6.53125,2.263
6.541666667,2.245
6.552083333,2.225
6.5625,2.206
6.572916667,2.176
6.583333333,2.167
6.59375,2.145
6.604166667,2.135
6.614583333,2.124
6.625,2.11
6.635416667,2.09
6.645833333,2.081
6.65625,2.067
6.666666667,2.055
6.677083333,2.044
6.6875,2.034
6.697916667,2.017
6.708333333,2.009
6.71875,1.993
6.729166667,1.989
6.739583333,1.976
6.75,1.969
6.760416667,1.954
6.770833333,1.949
6.78125,1.938
6.791666667,1.933
6.802083333,1.921
6.8125,1.909
6.822916667,1.907
6.833333333,1.893
6.84375,1.889
6.854166667,1.885
6.864583333,1.879
6.875,1.873
6.885416667,1.862
6.895833333,1.858
6.90625,1.854
6.916666667,1.847
6.927083333,1.839
6.9375,1.836
6.947916667,1.828
6.958333333,1.826
6.96875,1.82
6.979166667,1.814
6.989583333,1.806
7,1.805
7.010416667,1.799
7.020833333,1.799
7.03125,1.793
7.041666667,1.789
7.052083333,1.783
7.0625,1.781
7.072916667,1.777
7.083333333,1.773
7.09375,1.766
7.104166667,1.766
7.114583333,1.761
7.125,1.762
7.135416667,1.758
7.145833333,1.751
7.15625,1.749
7.166666667,1.746
7.177083333,1.744
7.1875,1.74
7.197916667,1.733
7.208333333,1.736
7.21875,1.733
7.229166667,1.729
7.239583333,1.727
7.25,1.724
7.260416667,1.721
7.270833333,1.72
7.28125,1.718
7.291666667,1.717
7.302083333,1.713
7.3125,1.712
7.322916667,1.706
7.333333333,1.706
7.34375,1.706
7.354166667,1.704
7.364583333,1.703
7.375,1.7
7.385416667,1.7
7.395833333,1.698
7.40625,1.697
7.416666667,1.691
7.427083333,1.691
7.4375,1.692
7.447916667,1.692
7.458333333,1.691
7.46875,1.688
7.479166667,1.689
7.489583333,1.688
7.5,1.688
7.510416667,1.689
7.520833333,1.686
7.53125,1.686
7.541666667,1.681
7.552083333,1.685
7.5625,1.682
7.572916667,1.684
7.583333333,1.683
7.59375,1.681
7.604166667,1.677
7.614583333,1.673
7.625,1.674
7.635416667,1.67
7.645833333,1.667
7.65625,1.665
7.666666667,1.663
7.677083333,1.662
7.6875,1.658
7.697916667,1.654
7.708333333,1.651
7.71875,1.648
7.729166667,1.648
7.739583333,1.644
7.75,1.643
7.760416667,1.642
7.770833333,1.639
7.78125,1.635
7.791666667,1.632
7.802083333,1.629
7.8125,1.627
7.822916667,1.627
7.833333333,1.621
7.84375,1.624
7.854166667,1.621
7.864583333,1.621
7.875,1.62
7.885416667,1.62
7.895833333,1.623
7.90625,1.623
7.916666667,1.625
7.927083333,1.626
7.9375,1.629
7.947916667,1.628
7.958333333,1.632
7.96875,1.634
7.979166667,1.64
7.989583333,1.647
8,1.659
